"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2024","83.182","83.085","83.217","83.035","","0.12%"
"01/16/2024","83.084","82.832","83.150","82.829","","0.31%"
"01/15/2024","82.827","82.835","82.929","82.775","","-0.04%"
"01/12/2024","82.857","83.068","83.104","82.779","","-0.25%"
"01/11/2024","83.063","83.004","83.121","82.930","","0.05%"
"01/10/2024","83.023","83.113","83.185","82.959","","-0.10%"
"01/09/2024","83.109","83.053","83.149","83.029","","0.08%"
"01/08/2024","83.045","83.124","83.178","83.026","","-0.07%"
"01/05/2024","83.103","83.235","83.286","83.067","","-0.17%"
"01/04/2024","83.243","83.294","83.335","83.195","","-0.05%"
"01/03/2024","83.282","83.279","83.348","83.244","","0.01%"
"01/02/2024","83.270","83.179","83.359","83.179","","0.04%"
"01/01/2024","83.238","83.240","83.243","83.150","","0.06%"
"12/29/2023","83.190","83.174","83.242","83.099","","0.03%"
"12/28/2023","83.169","83.268","83.318","83.125","","-0.11%"
"12/27/2023","83.263","83.163","83.368","83.163","","0.13%"
"12/26/2023","83.158","83.169","83.218","83.105","","-0.01%"
"12/25/2023","83.164","83.179","83.179","83.109","","0.00%"
"12/22/2023","83.166","83.221","83.275","83.102","","-0.06%"
"12/21/2023","83.214","83.166","83.291","83.156","","0.09%"
"12/20/2023","83.139","83.111","83.237","83.087","","0.04%"
"12/19/2023","83.106","83.153","83.228","83.070","","-0.05%"
"12/18/2023","83.144","83.018","83.173","82.910","","0.15%"
"12/15/2023","83.020","83.308","83.332","82.927","","-0.34%"
"12/14/2023","83.307","83.287","83.372","83.266","","-0.05%"
"12/13/2023","83.350","83.399","83.438","83.346","","-0.06%"
"12/12/2023","83.396","83.368","83.434","83.324","","0.06%"
"12/11/2023","83.350","83.409","83.451","83.349","","-0.09%"
"12/08/2023","83.425","83.354","83.465","83.335","","0.10%"
"12/07/2023","83.343","83.337","83.398","83.311","","0.01%"
"12/06/2023","83.332","83.325","83.381","83.286","","0.01%"
"12/05/2023","83.320","83.431","83.439","83.317","","-0.13%"
"12/04/2023","83.426","83.217","83.461","83.215","","0.20%"
"12/01/2023","83.260","83.356","83.375","83.240","","-0.12%"
"11/30/2023","83.357","83.359","83.419","83.290","","0.01%"
"11/29/2023","83.352","83.292","83.383","83.260","","0.01%"
"11/28/2023","83.340","83.358","83.399","83.292","","0.01%"
"11/27/2023","83.330","83.324","83.433","83.309","","-0.01%"
"11/24/2023","83.340","83.350","83.413","83.332","","0.04%"
"11/23/2023","83.305","83.276","83.368","83.265","","0.02%"
"11/22/2023","83.287","83.313","83.359","83.255","","-0.03%"
"11/21/2023","83.308","83.321","83.380","83.228","","-0.01%"
"11/20/2023","83.317","83.265","83.424","83.230","","0.09%"
"11/17/2023","83.244","83.161","83.303","83.161","","0.11%"
"11/16/2023","83.152","83.186","83.273","83.153","","-0.04%"
"11/15/2023","83.188","82.980","83.213","82.962","","0.26%"
"11/14/2023","82.973","83.209","83.278","82.906","","-0.25%"
"11/13/2023","83.180","83.309","83.343","83.201","","-0.15%"
